scenario,0.5min,2.0min,5.0min,10.0min,director
complete_derail_red_riding_hood,,,20,20,20
olaf_arendelle_tour_complete_derailment,1,8,20,20,20
olaf_arendelle_tour_medium_derailment,1,7,20,20,20
olaf_arendelle_tour_no_derailment,1,9,19,19,20
olaf_first_summer_picnic_complete_derailment,1,7,10,10,10
olaf_first_summer_picnic_medium_derailment,1,9,10,10,10
olaf_first_summer_picnic_no_derailment,1,9,10,10,10
olaf_frozen_adventure_traditions_complete_derailment,1,9,7,26,26
olaf_frozen_adventure_traditions_medium_derailment,1,9,23,26,26
olaf_frozen_adventure_traditions_no_derailment,1,8,22,26,26
olaf_lost_lantern_adventure_complete_derailment,1,8,21,30,30
olaf_lost_lantern_adventure_medium_derailment,1,7,19,21,29
olaf_lost_lantern_adventure_no_derailment,1,7,21,30,29
olaf_lost_snowflake_complete_derailment,1,8,10,10,10
olaf_lost_snowflake_medium_derailment,1,9,10,10,10
olaf_lost_snowflake_no_derailment,1,7,10,10,10
olaf_makes_anna_smile_complete_derailment,1,8,8,8,8
olaf_makes_anna_smile_medium_derailment,1,8,8,8,8
olaf_makes_anna_smile_no_derailment,1,8,8,8,8
olaf_once_upon_a_snowman_origin_complete_derailment,1,8,20,20,20
olaf_once_upon_a_snowman_origin_medium_derailment,1,8,20,20,20
olaf_once_upon_a_snowman_origin_no_derailment,1,9,20,20,19
olaf_presents_ocean_adventure_complete_derailment,1,8,20,4,20
olaf_presents_ocean_adventure_medium_derailment,1,7,19,20,20
olaf_presents_ocean_adventure_no_derailment,1,8,20,20,20
olaf_retells_red_riding_hood_complete_derailment,1,7,20,20,20
olaf_retells_red_riding_hood_medium_derailment,1,8,20,20,20
olaf_retells_red_riding_hood_no_derailment,1,8,20,20,19
olaf_winter_festival_surprise_complete_derailment,1,9,23,30,30
olaf_winter_festival_surprise_medium_derailment,1,9,11,30,30
olaf_winter_festival_surprise_no_derailment,1,9,23,30,30
